Created 2018/1/22 08:46 by Windographer 4.0.19

Latitude = N 0.000000
Longitude = E 0.000000
Elevation = 0 m
Calm threshold = 0 m/s

Included flags: <Unflagged data>
Excluded flags: 

Time stamps indicate the beginning of the time step.

Date/Time	Speed 85 m [m/s]	Speed 85 m SD [m/s]	Speed 85 m Max [m/s]	Speed 85 m Min [m/s]	Speed 75 m [m/s]	Speed 75 m SD [m/s]	Speed 75 m Max [m/s]	Speed 75 m Min [m/s]	Speed 50 m [m/s]	Speed 50 m SD [m/s]	Speed 50 m Max [m/s]	Speed 50 m Min [m/s]	Direction 85 m [°] [°] [°]	Direction 85 m SD [°] [°] [°]	Direction 85 m Max [°] [°] [°]	Direction 85 m Min [°] [°] [°]	Direction 10 m [°] [°] [°]	Direction 10 m SD [°] [°] [°]	Direction 10 m Max [°] [°] [°]	Direction 10 m Min [°] [°] [°]	Temperature 10 m [°C]	Temperature 10 m SD [°C]	Temperature 10 m Max [°C]	Temperature 10 m Min [°C]	Pressure 7 m [kPa]	Pressure 7 m SD [kPa]	Pressure 7 m Max [kPa]	Pressure 7 m Min [kPa]	iPack Voltmtr V 7 m [°C]	iPack Voltmtr V 7 m SD [°C]	iPack Voltmtr V 7 m Max [°C]	iPack Voltmtr V 7 m Min [°C]	Speed 30 m [m/s]	Speed 30 m SD [m/s]	Speed 30 m Max [m/s]	Speed 30 m Min [m/s]	Speed 10 m [m/s]	Speed 10 m SD [m/s]	Speed 10 m Max [m/s]	Speed 10 m Min [m/s]	Custom [unit]	Custom SD [unit]	Custom Max [unit]	Custom Min [unit]	
2017-05-01 23:00	3.783	0.692	6.300	1.800	3.733	0.707	6.300	1.800	3.067	0.754	6.300	0.300					143.7	19.1	0.0	0.0	12.4	0.1	12.9	12.1	83.9	0.0	83.9	83.9	13.400	0.0000	13.400	13.400	2.700	0.772	6.400	0.300	1.983	0.820	4.800	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-02 00:00	3.217	0.661	6.300	0.300	3.100	0.642	6.300	0.300	2.450	0.662	5.600	0.300					155.7	21.2	0.0	0.0	12.2	0.1	12.6	11.8	83.9	0.0	83.9	83.8	13.400	0.0000	13.400	13.400	2.383	0.706	5.600	0.300	2.117	0.737	5.600	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-02 01:00	5.050	0.631	7.200	2.500	5.000	0.662	7.200	2.500	4.233	0.779	7.200	1.100					143.9	26.6	0.0	0.0	11.6	0.1	12.1	11.0	83.8	0.0	83.9	83.8	13.400	0.0000	13.400	13.400	3.833	0.756	6.400	1.100	2.867	0.890	6.400	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-02 02:00	5.950	0.722	9.200	3.300	5.900	0.722	9.200	3.300	5.167	0.771	9.200	1.800					133.5	20.2	0.0	0.0	10.8	0.1	11.3	10.5	83.8	0.0	83.8	83.8	13.400	0.0000	13.400	13.400	4.967	0.839	8.500	1.800	4.000	1.110	9.200	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-02 03:00	5.683	0.528	7.800	3.300	5.550	0.564	7.800	3.300	4.733	0.577	7.200	1.100					152.0	19.9	0.0	0.0	10.5	0.1	10.8	10.2	83.8	0.0	83.8	83.8	13.400	0.0000	13.400	13.400	4.050	0.906	6.400	0.300	2.900	1.044	7.200	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-02 04:00	7.300	0.488	8.500	5.600	7.317	0.524	9.200	5.600	6.600	0.722	9.200	3.300					166.1	24.3	0.0	0.0	10.2	0.1	10.5	10.0	83.8	0.0	83.8	83.8	13.300	0.0000	13.400	13.300	5.567	1.146	9.200	1.100	4.183	1.293	8.500	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-02 05:00	6.167	0.521	7.800	4.100	6.300	0.539	7.800	3.300	5.833	0.656	8.500	2.600					146.9	18.4	0.0	0.0	10.3	0.1	10.5	10.2	83.8	0.0	83.9	83.8	13.300	0.0000	13.400	13.300	5.350	0.796	7.800	1.800	3.933	0.978	7.800	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-02 06:00	5.733	0.670	8.500	3.300	5.617	0.716	8.500	2.500	4.450	0.930	7.200	0.300					124.9	28.4	0.0	0.0	10.3	0.1	10.8	10.0	83.9	0.0	83.9	83.8	13.333	0.0408	13.700	13.300	3.667	1.142	7.200	0.300	2.317	1.106	6.400	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-02 07:00	6.050	0.720	8.500	2.500	5.850	0.855	8.500	1.800	4.400	1.054	8.500	0.300					147.1	34.9	0.0	0.0	11.5	0.1	12.6	10.8	84.0	0.0	84.0	83.9	14.233	0.0816	14.300	13.700	3.700	1.155	7.800	0.300	2.583	1.197	6.400	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-02 08:00	4.383	0.799	7.200	0.300	4.333	0.887	7.800	0.300	3.550	1.049	6.300	0.300					152.0	41.7	0.0	0.0	13.6	0.2	15.1	12.4	84.0	0.0	84.0	84.0	14.200	0.0000	14.200	14.200	3.283	1.067	6.400	0.300	2.467	1.137	5.600	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-02 09:00	4.600	1.080	7.800	0.300	4.617	1.092	8.500	1.100	4.383	1.155	8.500	0.300					186.9	26.4	0.0	0.0	14.9	0.2	15.9	14.5	84.1	0.0	84.1	84.0	14.117	0.0000	14.200	14.100	4.517	1.259	8.500	0.300	4.167	1.536	9.200	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-02 10:00	4.933	1.169	9.200	0.300	5.000	1.173	9.200	1.100	5.033	1.188	10.000	1.100					187.4	22.9	0.0	0.0	16.4	0.3	17.9	15.1	84.1	0.0	84.1	84.0	14.100	0.0000	14.100	14.100	5.217	1.237	10.000	1.800	4.833	1.435	9.200	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-02 11:00	7.250	1.334	14.600	1.100	7.283	1.363	12.900	1.100	7.067	1.474	14.000	0.300					183.4	27.0	0.0	0.0	17.5	0.2	18.4	17.0	84.0	0.0	84.1	83.9	14.100	0.0000	14.100	14.100	7.350	1.615	14.100	0.300	6.983	2.049	14.100	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-02 12:00	8.733	1.360	15.300	4.100	8.817	1.420	14.600	2.500	8.683	1.511	14.600	3.300					181.7	21.2	0.0	0.0	17.9	0.2	19.0	17.3	83.9	0.0	84.0	83.8	14.100	0.0000	14.100	14.100	8.833	1.622	14.700	0.300	8.383	2.035	14.700	1.100	0.0000	0.0000	0.0000	0.0000
2017-05-02 13:00	7.967	1.396	12.400	1.800	7.933	1.531	12.900	2.500	7.133	1.775	14.000	1.100					183.4	30.4	0.0	0.0	18.3	0.2	19.3	17.9	83.9	0.0	83.9	83.8	14.100	0.0000	14.100	14.100	6.933	1.978	15.300	1.100	6.317	2.327	14.700	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-02 14:00	8.850	1.402	14.600	2.500	8.850	1.482	14.600	3.300	8.133	1.646	12.900	1.800					182.3	26.9	0.0	0.0	18.8	0.2	19.6	18.4	83.9	0.0	83.9	83.8	14.017	0.0000	14.100	14.100	8.033	1.797	14.100	1.100	7.667	2.198	14.700	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-02 15:00	10.533	1.327	15.300	4.100	10.617	1.370	15.900	4.800	9.700	1.783	15.200	1.100					182.4	22.8	0.0	0.0	18.5	0.2	19.0	17.9	83.8	0.0	83.9	83.7	14.000	0.0000	14.100	14.100	9.517	1.779	14.700	2.600	9.200	2.121	16.600	1.100	0.0000	0.0000	0.0000	0.0000
2017-05-02 16:00	9.017	1.145	14.600	2.500	9.100	1.296	14.000	2.500	8.083	1.711	14.600	1.800					178.9	25.5	0.0	0.0	17.9	0.1	18.1	17.6	83.8	0.0	83.8	83.8	14.100	0.0000	14.100	14.100	7.950	1.724	14.700	2.600	7.550	1.977	14.100	1.100	0.0000	0.0000	0.0000	0.0000
2017-05-02 17:00	8.667	0.983	12.400	4.100	8.700	1.116	12.900	3.300	7.817	1.488	12.900	1.100					181.4	24.4	0.0	0.0	16.7	0.2	17.9	15.9	83.8	0.0	83.8	83.7	14.100	0.0000	14.100	14.100	7.667	1.525	12.400	2.600	7.417	1.759	12.400	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-02 18:00	7.967	1.012	12.400	4.800	8.083	1.054	12.400	4.800	7.383	1.242	11.800	1.100					178.5	23.5	0.0	0.0	15.1	0.1	15.9	14.5	83.8	0.0	83.8	83.8	14.117	0.0000	14.200	14.000	7.017	1.338	10.900	3.400	6.467	1.650	11.900	1.100	0.0000	0.0000	0.0000	0.0000
2017-05-02 19:00	6.850	1.229	12.400	2.500	6.883	1.232	12.400	2.500	6.367	1.229	11.800	1.100					177.1	22.1	0.0	0.0	13.8	0.1	14.5	13.4	83.8	0.0	83.8	83.8	13.883	0.0000	14.000	13.800	6.267	1.227	11.900	1.100	5.683	1.593	10.900	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-02 20:00	8.850	1.193	12.900	3.300	8.933	1.208	12.400	4.100	8.500	1.217	14.000	2.600					176.0	23.0	0.0	0.0	13.2	0.1	13.7	12.9	83.8	0.0	83.8	83.7	13.667	0.0000	13.800	13.600	8.350	1.282	14.100	1.100	7.700	1.712	14.100	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-02 21:00	10.183	1.158	14.600	6.300	10.283	1.175	15.300	6.300	9.767	1.313	14.600	4.800					175.6	19.6	0.0	0.0	13.2	0.1	13.7	12.9	83.8	0.0	83.8	83.8	13.533	0.0000	13.600	13.500	9.533	1.485	14.700	3.400	8.833	1.881	15.300	1.100	0.0000	0.0000	0.0000	0.0000
2017-05-02 22:00	10.300	0.969	14.000	6.300	10.400	0.999	14.000	6.300	10.017	1.109	14.600	4.800					175.9	18.1	0.0	0.0	13.2	0.1	13.4	13.2	83.8	0.0	83.9	83.8	13.433	0.0000	13.500	13.400	9.783	1.172	14.700	3.400	9.000	1.593	14.700	1.800	0.0000	0.0000	0.0000	0.0000
2017-05-02 23:00	10.317	0.859	14.000	7.200	10.367	0.926	14.000	7.200	9.767	1.030	12.900	6.300					176.8	17.5	0.0	0.0	12.8	0.1	13.2	12.6	83.8	0.0	83.9	83.8	13.400	0.0000	13.400	13.400	9.517	1.195	12.900	4.800	8.867	1.601	14.100	2.600	0.0000	0.0000	0.0000	0.0000
2017-05-03 00:00	8.800	0.585	12.900	6.300	8.900	0.600	12.900	6.300	8.350	0.793	11.800	4.100					176.6	15.2	0.0	0.0	12.6	0.1	12.9	12.4	83.8	0.0	83.9	83.8	13.400	0.0000	13.400	13.400	8.100	1.080	11.900	3.400	7.633	1.314	12.400	2.600	0.0000	0.0000	0.0000	0.0000
2017-05-03 01:00	8.650	0.812	11.900	5.600	8.717	0.897	10.900	4.800	8.067	1.007	11.800	4.100					175.1	16.3	0.0	0.0	12.5	0.1	12.6	12.1	83.8	0.0	83.8	83.7	13.400	0.0000	13.400	13.400	7.833	1.095	10.900	3.400	7.200	1.375	11.900	1.100	0.0000	0.0000	0.0000	0.0000
2017-05-03 02:00	9.150	0.804	11.900	5.600	9.233	0.809	12.400	5.600	8.817	0.903	12.300	4.100					174.4	19.2	0.0	0.0	12.3	0.1	12.4	12.1	83.7	0.0	83.8	83.7	13.400	0.0000	13.400	13.400	8.450	1.096	11.900	1.800	7.550	1.404	11.900	1.100	0.0000	0.0000	0.0000	0.0000
2017-05-03 03:00	8.883	0.453	10.900	7.200	8.967	0.469	10.900	7.200	8.783	0.596	10.900	5.600					175.8	16.7	0.0	0.0	12.2	0.1	12.4	11.8	83.7	0.0	83.8	83.7	13.400	0.0000	13.400	13.400	8.633	0.772	10.900	5.600	7.883	1.114	10.900	1.800	0.0000	0.0000	0.0000	0.0000
